Comment,Designator,Footprint,LCSC, LCSC Part #, Part #
"0.1uF","C3","PrntrBoardV2:C_0603_1608Metric","","C14663","CC0603KRX7R9BB104"
"100uF 35V","C4","Capacitor_SMD:CP_Elec_6.3x7.7","","C134792","VES101M1VTR-0607"
"PCIe_Stepper","J1","Connector_PCBEdge:BUS_PCIexpress",""
"Motor","J2","PrntrBoardV2:Molex-SL-4POS",""
"StepStickL","J3","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"StepStickR","J4","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Conn_01x04","J5","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"SPI Mode","J6","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x02","J7","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Serial","JP2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Clock/Sleep","JP3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Reset","JP4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"10k","R1,R2","Resistor_SMD:R_0603_1608Metric","","C29718","4D03WGJ0103T5E"
"74LVC1G06","U2","Package_TO_SOT_SMD:SOT-353_SC-70-5","","C7828","SN74LVC1G06DCKR"
