Comment,Designator,Footprint,LCSC, LCSC Part #, Part #
"0.1uF","C1,C6,C16,C17","PrntrBoardV2:C_0603_1608Metric","","C14663","CC0603KRX7R9BB104"
"1000pF","C11,C12,C13,C14","PrntrBoardV2:C_0603_1608Metric","","C1588","CL10B102KB8NNNC"
"10uF 50V","C2,C4","PrntrBoardV2:C_1206_3216Metric","","C13585","CL31A106KBHNNNE"
"0.022uF 50V","C3","PrntrBoardV2:C_0603_1608Metric","","C21122","CL10B223KB8NNNC"
"100uV 35V","C5","Capacitor_SMD:CP_Elec_6.3x7.7","","C171732","VE-101M1VTR-0607"
"4.7uF","C7","PrntrBoardV2:C_0603_1608Metric","","C19666","CL10A475KO8NNNC"
"0.47uF","C8","Capacitor_SMD:C_0603_1608Metric","","C1623","CL10B474KA8NNNC"
"0.1uF 50V","C9,C10,C15","PrntrBoardV2:C_0402_1005Metric","","C1525","CL05B104KO5NNNC"
"SBRT5A50SA","D1","Diode_SMD:D_SMA","","C264107","SBRT5A50SA-13"
"3A","F1","Fuse:Fuse_1206_3216Metric","","C208499","SF-1206F300-2"
"PCIe_Stepper","J1","Connector_PCBEdge:BUS_PCIexpress",""
"Conn_01x04_Male","J2","PrntrBoardV2:Molex-SL-4POS",""
"Screw_Terminal_01x02","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"DIAG_Sel","JP1","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm",""
"Use VM","JP2","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"0R12","R1,R2","Resistor_SMD:R_2512_6332Metric","","C81248","25121WF120LT4E"
"TMC2130","U1","PrntrBoardV2:tmc5130-nc","","C328952","TMC2130A-TA"
"24LC02","U2","PrntrBoardV2:TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm","","C184154","CAT24C02VP2IGT3A"
