Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",21.970000,24.310000,0.000000,top
"C2","10uF 50V","C_1206_3216Metric",25.800000,29.400000,0.000000,top
"C3","0.022uF 50V","C_0603_1608Metric",10.050000,27.150000,-135.000000,top
"C4","10uF 50V","C_1206_3216Metric",4.800000,30.400000,180.000000,top
"C5","100uV 35V","CP_Elec_6.3x7.7",33.000000,12.000000,90,top
"C6","0.1uF","C_0603_1608Metric",17.750000,16.250000,0.000000,top
"C7","4.7uF","C_0603_1608Metric",14.200000,28.950000,180.000000,top
"C8","0.47uF","C_0603_1608Metric",11.950000,29.700000,90.000000,top
"C9","0.1uF 50V","C_0402_1005Metric",9.000000,24.600000,90.000000,top
"C10","0.1uF 50V","C_0402_1005Metric",26.010000,22.200000,90.000000,top
"C11","1000pF","C_0603_1608Metric",9.700000,30.800000,0.000000,top
"C12","1000pF","C_0603_1608Metric",17.000000,31.700000,90.000000,top
"C13","1000pF","C_0603_1608Metric",8.900000,32.500000,0.000000,top
"C14","1000pF","C_0603_1608Metric",19.200000,31.700000,90.000000,top
"C15","0.1uF 50V","C_0402_1005Metric",3.720000,22.315000,90.000000,top
"C16","0.1uF","C_0603_1608Metric",19.300000,10.250000,0.000000,top
"C17","0.1uF","C_0603_1608Metric",6.830000,24.290000,180.000000,top
"D1","SBRT5A50SA","D_SMA",32.750000,27.500000,180.000000,top
"F1","3A","Fuse_1206_3216Metric",32.950000,31.650000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,37.546000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",35.100000,1.600000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",34.764000,37.546000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.600000,1.600000,0.000000,top
"J2","Conn_01x04_Male","Molex-SL-4POS",15.250000,35.000000,180.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",29.250000,35.000000,180.000000,top
"R1","0R12","R_2512_6332Metric",23.540000,19.010000,-90.000000,top
"R2","0R12","R_2512_6332Metric",6.170000,18.840000,-90.000000,top
"U1","TMC2130","tmc5130-nc",14.750000,22.500000,90.000000,top
"U2","24LC02","TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm",19.900000,12.350000,180.000000,top
